Enrollment	Year	Q1_AI_focus	Q2_AI_bachelor_relevance	Q3_SysCom_relevance	Q4_IN_SC_merge	Q5_Bachelor_name	Q6_2nd_year_changes	Q7_3rd_year_changes_ML	Q8_3rd_year_changes_removals	Q9_Bachelor_choice	Comments
BA-SC	BA3	Specialization	Relevant	No opinion	Strongly agree	Intelligent Systems	4	5 – I love it !	3 - No opinion	AI	
MA-CY	MA1	Specialization	A little Relevant	Agree	Agree	Intelligent Systems	4	5 – I love it !	1 – I hate it !	SysCom	
BA-IN	BA5	As it is now	A little Relevant	Disagree	Agree	Intelligent Systems	4	4	1 – I hate it !	Not sure	
MA-IN	MA3	No opinion	A little Relevant	Strongly disagree	Agree	Data Science	1 – I hate it !	4	1 – I hate it !	Not sure	Courses like Computer Systems and Computer Security are truly important for any Bachelor in this faculty and should not be made optional. Removing these compulsory courses is making the Bachelor too specialized and not giving a good overview of important aspects of the field - this is the role of a Masters program, NOT a Bachelor program
BA-SC	BA5	New independent bachelor	Very relevant	Disagree	Agree	Intelligent Systems	5 – I love it !	4	4	AI	
BA-IN	BA3	New independent bachelor	Very relevant	Agree	Strongly disagree	AI	3 - No opinion	3 - No opinion	3 - No opinion	AI	
BA-IN	BA3	New independent bachelor	Relevant	Agree	Agree	AI	3 - No opinion	3 - No opinion	3 - No opinion	AI	"Ne faire qu'un seul Bachelor avec des tracks obligatoires semble être une idée meilleure encore : un track purement 'info' software, théorie de programmation, un track plus proba/physique avec du traitement de signal et de l'information, et un track IA avec du ML et les applications concrètes de l'IA.  Concernant ce qui est actuellement en place : on ne fait pas assez clairement la distinction en un Bachelor SC et IN, qui pour moi sont réellement deux disciplines à part. De plus, je trouve que l'ensemble des cours disponible en IC couvre beaucoup de domaines différents sans qu'il y ait réellement une structure à tout ça : prendre juste intro to ML comme ça n'a pas trop de sens et il n'y a pas vraiment d'options pour aller plus loin. D'où l'idée des tracks obligatoires qui me semble super et qui permettraient réellement de distinguer les différents débouchés de ""l'informatique"""
BA-IN	BA3	Specialization	A little Relevant	No opinion	Agree	AI	3 - No opinion	4	1 – I hate it !	Not sure	
BA-IN	BA3	Specialization	No opinion	Agree	Strongly disagree	AI	1 – I hate it !	4	2	Not sure	
BA-IN	BA3	Specialization	A little Relevant	Disagree	Strongly agree	Intelligent Systems	4		4	AI	
BA-IN	BA3	Specialization	A little Relevant	No opinion	Strongly agree	Intelligent Systems	3 - No opinion	3 - No opinion	3 - No opinion	AI	
BA-IN	BA3	Specialization	Relevant	Disagree	Strongly agree	Intelligent Systems	4	4	2	Not sure	
BA-IN	BA3	Specialization	Relevant	No opinion	No opinion	AI	3 - No opinion	4	4	AI	
BA-IN	BA3	Specialization	A little Relevant	Agree	No opinion					SysCom	
BA-IN	BA3	Specialization	Relevant	Agree	Strongly agree	AI	4	3 - No opinion	3 - No opinion	AI	
BA-IN	BA3	Specialization	No opinion	Disagree	Agree	AI	4	3 - No opinion	3 - No opinion	Not sure	
BA-IN	BA3	Specialization	A little Relevant	No opinion	Strongly disagree	Intelligent Systems	3 - No opinion	3 - No opinion	3 - No opinion	Not sure	Ne serait-il pas plus pertinent de créer un master spécialisé en IA comme il est le cas pour la cybersecurité, et renforcer l'accompagnement des étudiants en bachelors vers les options qui sont nécessaire à son suivi ? Il serait dommage de restreindre le champ de compétences dès le Bachelor ; je vois plutôt ce cycle comme étant volontairement plus général afin de nous donner goût à de divers secteurs et de permettre un choix plus réfléchi de nos Masters. Devoir choisir une voie si spécifique dès la première année représenterait un risque de ne pas s'engager dans la bonne voie et s'en rendre compte uniquement lors de l'arrivée de cours spécifiques (deuxième ou troisième année). 
BA-IN	BA3	Specialization	No opinion	Disagree	Strongly agree	AI	1 – I hate it !	4	3 - No opinion	SysCom	Computer Systems ne doit être en AUCUN CAS supprimé à mon avis, alors qu’électromagnétisme, quant à elle, est une matières qui n’a rien à voir, et rien à faire avec un bachelor en IA ou en Systèmes de Communication, et je reste convaincu que +90% des étudiants seraient du même avis
BA-SC	BA5	New independent bachelor	Very relevant	Strongly disagree	Strongly agree	AI	5 – I love it !	5 – I love it !	5 – I love it !	AI	
BA-SC	BA3	Specialization	Very relevant	Strongly agree	Strongly agree	AI	4	4	4	AI	
BA-IN	BA3	Specialization	A little Relevant	Agree	Disagree		2	3 - No opinion	4	SysCom	"Le choix de renommer le bachelor s'inscrit dans une époque ou l'IA est en vogue, jai peur que ce bachelor soit ""caduc"" ou dépassé dans un futur un peu plus lointain où l'IA et les LLM ne serait peut être plus le focus du monde de la tech. Je préfère un bachelor qui sauras s'adapter avec plus de cours a option ou des petites reformes pour rester intemporel plutôt que de le renommer et s'inscrire dans une ""mode""."
BA-IN	BA3	As it is now	Not relevant at all	No opinion	Agree	Intelligent Systems	2	5 – I love it !	5 – I love it !	SysCom	
BA-IN	BA3	New independent bachelor	Very relevant	Strongly disagree	Strongly agree	AI				AI	
BA-IN	BA3	Specialization	A little Relevant	Agree	Disagree	Intelligent Systems	2	4	2	SysCom	
BA-IN	BA5	Specialization	A little Relevant	Disagree	Strongly agree	AI	4	4	4	SysCom	L'avantage du bachelor unique avec des spécialisations, est qu'il est très facile de le modifier dans le temps, en cas de flop de l'IA, ou du regain des systèmes de communication / nouvelles modes, le bachelor peut s'adapter en condition, plus facilement et rapidement qu'en créant un nouveau bachelor.  Bref gambergez bien mes chocobébous-love
MA-IN	MA1	Specialization	Not relevant at all	Agree	Strongly disagree	Intelligent Systems	2	4	2	SysCom	data science bachelor would make more sense. a bachelor in ai just sounds stupid and will attract people that are uninterested in general computer science and that will fail first year.   side note: i don't see why compsec should become optional. no-one should get to the master without knowing compsec basics, that's just irresponsible of the school.
BA-SC	BA3	No opinion	Relevant	Agree	Agree	Intelligent Systems	4	3 - No opinion	3 - No opinion	Not sure	
BA-SC	BA5	New independent bachelor	Relevant	Agree	No opinion	Intelligent Systems	4	5 – I love it !	2	Not sure	
BA-IN	BA5	Specialization	Relevant	Strongly disagree	Strongly agree	Intelligent Systems	5 – I love it !	4	4	AI	
BA-IN	BA3	Specialization	Not relevant at all	Strongly disagree	Strongly agree		3 - No opinion	4	1 – I hate it !	Not sure	If you’re reforming the Syscom program then you have to make sure that it doesn’t intersect with IC program. Right now the only difference in syscom is BA3 when you “don’t” take comparch but take electromag, but even in this case they are optional in their respective programs. IMO it is better to have one compsci program with other specialisations starting from the 2nd year but share the same comp courses 
BA-SC	BA3	As it is now	Not relevant at all	Strongly agree	Strongly disagree		3 - No opinion	3 - No opinion	3 - No opinion	SysCom	
BA-IN	BA3	Specialization	Very relevant	No opinion	Strongly agree	AI	4	4	4	AI	
MA-DS	Other	Specialization	Relevant	Disagree	Agree	AI	4	5 – I love it !	4	Not sure	Un cours sur les Systèmes pour IA devrait prendre la place de Compsys dans ce nouveau bachelor. En effet, plus que les astuces mathématiques, c'est ainsi que la différence se fait récemment dans la milieu, et il en faut une compréhension minimale.  Avoir un bachelor en computer science avec des spécialisations optionnelles serait bien. En pratique, c'est quasiment ce qu'on a déjà, sauf qu'on n'a pas le titre de la spécialisation qui va avec - ce qui est ok. Avoir un autre bachelor en plus en IA c'est du benef - bien sûr, tant que ce nouveau bachelor ferait sens.  Compsec pas obligatoire est assez dangereux. C'est un cours qui permet d'avoir un overview de security et privacy, juste ce qu'il faut pour des non spécialistes comme manière de penser à ces sujets. On pourrait le garder obligatoire pour un bachelor en IA à mon avis, ça reste des enjeux majeurs.  Concernant les cours / projet de ML de 3ème année: ce qui est important c'est que ces cours ne se cantonnent pas à présenter plus de maths liées au ML. Des notions de MLops seraient très bienvenues afin que les étudiant·x·e·s aient une idée des enjeux derrière le déploiment et la maintenance de modèles dans la vie réelle.
BA-SC	BA3	New independent bachelor	Very relevant	Disagree	No opinion	AI	5 – I love it !	5 – I love it !	3 - No opinion	AI	
BA-IN	BA3	Specialization	A little Relevant	No opinion	Disagree	Intelligent Systems				Not sure	"le mot clef ""IA"" est utilise dans la societe pour tout et rien dire. C'est pour ca que lorsqu on me dit bachelor IA, même si le contenu est bon, j'ai l impression que c est le même niveau que les arnaques de ""formations en ia"" vendu sur Internet"
BA-SC	BA3	Specialization	Very relevant	Strongly agree	No opinion	Intelligent Systems	5 – I love it !	5 – I love it !	5 – I love it !	AI	
MA-CY	MA1	As it is now	Not relevant at all	No opinion	Strongly agree	Intelligent Systems	1 – I hate it !	4	2	SysCom	
BA-SC	BA5	New independent bachelor	Relevant	Disagree	Disagree	AI	5 – I love it !	4	5 – I love it !	AI	
Other	Other	New independent bachelor	Very relevant	Disagree	Agree	AI	3 - No opinion	3 - No opinion	3 - No opinion	AI	
BA-IN	BA1	Specialization	Very relevant	Disagree	Disagree	AI	3 - No opinion	3 - No opinion	3 - No opinion	AI	
BA-IN	BA1	New independent bachelor	Very relevant	Strongly disagree	No opinion	AI	5 – I love it !	5 – I love it !	5 – I love it !	AI	
BA-IN	BA1	Specialization	Relevant	Agree	No opinion	AI	3 - No opinion	3 - No opinion	3 - No opinion	SysCom	
BA-SC	BA5	New independent bachelor	Very relevant	Strongly disagree	Agree	AI	5 – I love it !	5 – I love it !	5 – I love it !	AI	
BA-SC	BA1	New independent bachelor	Relevant	Disagree	Disagree	Intelligent Systems	4	4	3 - No opinion	SysCom	
BA-IN	BA3	As it is now	A little Relevant	Strongly agree	No opinion	Intelligent Systems	3 - No opinion	2	2	SysCom	
MA-CY	MA1	Specialization	Not relevant at all	Disagree	Strongly agree	Intelligent Systems	2	2	2	SysCom	
BA-SC	BA5	Specialization	Relevant	Disagree	Agree	AI	5 – I love it !	5 – I love it !	2	Not sure	
MA-CY	MA3	Specialization	Relevant	Disagree	Strongly agree		4	4	4	AI	
MA-IN	MA3	As it is now	Not relevant at all	No opinion	Agree	AI	1 – I hate it !	4	1 – I hate it !	Not sure	
MA-DS	MA1	Specialization	A little Relevant	No opinion	Agree	Intelligent Systems	4	4	3 - No opinion	SysCom	Hyperspecializing early in AI is a big gamble given the job market and the overall maturity of the field.
MA-DS	MA1	New independent bachelor	Very relevant	Disagree	Disagree	Intelligent Systems	4	5 – I love it !	4	AI	
BA-IN	BA3	Specialization	Very relevant	Disagree	Strongly agree	AI	5 – I love it !	5 – I love it !	5 – I love it !	AI	
BA-SC	BA1	Specialization	Relevant	No opinion	Strongly agree	Intelligent Systems	4	5 – I love it !	4	Not sure	
BA-IN	BA1	Specialization	Relevant	Strongly disagree	Strongly agree	AI	4	4	4	AI	
Other	MA1	Specialization	Not relevant at all	Agree	Disagree	Intelligent Systems	1 – I hate it !	4	1 – I hate it !	SysCom	
MA-IN	MA3	Specialization	A little Relevant	Disagree	Strongly agree	Other	4	4	1 – I hate it !	SysCom	Je trouve qu’un bachelor unifié en informatique serait beaucoup plus pertinent avec plusieurs tracks de spécialisation possible, avec de la cybersecurité, théorie, signal processing, IA, etc qui auront chacune des blocs / cours différents. Aussi je trouve super dommage le fait de rendre CompSec optionnel, peut-être qu’il faudrait plutôt re-réfléchir le cours pour quil incorpore moins de network security et qu’il soit pertinent pour toutes les spécialisations quitte à le rendre plus généreux, et refaire vivre ISP qui est enlevé aujourd’hui car considéré comme redondant mais qui aurait plus sa place dans ce nouveau bachelor au dernier semestre en approfondissant les concepts de compsec et en allant plus loin dans le network security et autre.
BA-IN	BA3	New independent bachelor	Very relevant	Disagree	Agree	AI	5 – I love it !	5 – I love it !	5 – I love it !	AI	
Other	MA1	New independent bachelor	Very relevant	Disagree	No opinion	AI	5 – I love it !	4	4	AI	
BA-IN	BA1	Specialization	A little Relevant	Strongly disagree	Strongly agree	Intelligent Systems	5 – I love it !	5 – I love it !	5 – I love it !	AI	
MA-IN	MA1	Specialization	Not relevant at all	Strongly agree	No opinion	Intelligent Systems	1 – I hate it !	1 – I hate it !	1 – I hate it !	SysCom	
MA-SC	MA3	New independent bachelor	Very relevant	Disagree	Strongly agree	AI	5 – I love it !	5 – I love it !	1 – I hate it !	SysCom	"Je pense qu'une grande partie du manque de popularié du master syscom est le manque de cours de syscom ""appliqués""  par exemple modern digital communications est un cours très simple, qui pourrait etre donné en bachelor en parallele de principles of digital communication, ce qui donnerait un projet intéressant et pratique à faire  ou sinon après aicc2 on pourrait créer des cours de coding theory appliquée...  Je comprends l'attrait de l'intelligence artificielle mais je ne pense pas que ca devraot remplacer syscom"
MA-DS	MA3	Specialization	A little Relevant	Agree	Strongly agree	Intelligent Systems	1 – I hate it !	2	4	SysCom	In the future there will be a lot of AI expert which require little expertise. Keeping system oriented/syscom is very important to get knowledge that will then be used in AI. AI is not hard to learn (mostly)
BA-SC	BA3	New independent bachelor	Very relevant	Strongly disagree	Strongly agree	AI	4	4	4	AI	
BA-IN	BA3	Specialization	Relevant	Strongly disagree	Strongly agree	Intelligent Systems	5 – I love it !	5 – I love it !	3 - No opinion	AI	S'il vous plait implementez ces nouvelles matieres de BA4 pour le prochain semestre!!
BA-SC	BA5	Specialization	Relevant	Strongly disagree	Strongly agree	Data Science	4	3 - No opinion	4	AI	
MA-IN	MA3	As it is now	Not relevant at all	Agree	Strongly agree	AI	4	4	2	SysCom	Keep SotchMods, really important for everything using probability
BA-IN	BA3	As it is now	Not relevant at all	Agree	No opinion	Intelligent Systems	1 – I hate it !	1 – I hate it !	1 – I hate it !	SysCom	
BA-IN	BA1	Specialization	Relevant	Strongly disagree	Strongly agree	Intelligent Systems	4	4	5 – I love it !	AI	
BA-IN	BA1	New independent bachelor	Very relevant	Disagree	Strongly agree	Intelligent Systems	4	4	4	AI	
BA-SC	BA5	No opinion	No opinion	Disagree	Strongly agree	Intelligent Systems	5 – I love it !	2	5 – I love it !	AI	
BA-IN	BA3	New independent bachelor	Very relevant	Disagree	Agree	Intelligent Systems	4	5 – I love it !	4	AI	
BA-IN	BA1	Specialization	Very relevant	No opinion	Agree	AI				AI	
BA-IN	BA3	Specialization	Very relevant	Strongly agree	Agree	Intelligent Systems	4	3 - No opinion	4	AI	
BA-IN	BA1	Specialization	A little Relevant	Disagree	Agree	Intelligent Systems	3 - No opinion	3 - No opinion	3 - No opinion	AI	
BA-SC	BA3	New independent bachelor	Relevant	Disagree	No opinion	Intelligent Systems	3 - No opinion	5 – I love it !	2	AI	
MA-DS	MA3	New independent bachelor	Very relevant	Disagree	No opinion	Data Science	5 – I love it !	5 – I love it !	3 - No opinion	AI	"I would add more data-related courses to make the bachelor more general, like bachelor-level course like the master's ADA course (or make Internet Analytics mandatory, it's a great course!). Another course on slightly more advanced probability and statistics could also be useful.  100% support the proposed new courses, with a larger ML project and Systems for AI, which are currently lacking even at the master's level.  I would also love a new course on automatic differentiation and other technologies that constitue the ""backbone"" of current SOTA AI technologies, similarly to what is proposed with the optimization course. "
BA-IN	BA5	As it is now	A little Relevant	Disagree	Strongly disagree	Intelligent Systems	2	4	4	Not sure	
BA-SC	BA3	Specialization	Not relevant at all	Disagree	No opinion	AI	5 – I love it !	3 - No opinion	3 - No opinion	AI	
MA-DS	MA3	Specialization	Not relevant at all	No opinion	Strongly agree	Other	3 - No opinion	5 – I love it !	5 – I love it !	AI	"I think the changes are good but the name should stay relevant to other schools. ""Bachelor in AI"" looks too much like some Buisness School courses. I think this particular name of ""Bachlor in AI"" is a downgrade."
BA-IN	BA5	New independent bachelor	Relevant	No opinion	Agree	Intelligent Systems	3 - No opinion	3 - No opinion	2	Not sure	Honnêtement je trouve que les matières obligatoires actuelles de syscom sont aussi pertinentes que les nouvelles matières de l’éventuelle nouveau bachelor, si je devais choisir, j’aurais pris tous les cours des 2 bachelors.
BA-IN	BA5	Specialization	No opinion	Disagree	Agree		3 - No opinion	3 - No opinion	3 - No opinion	AI	
BA-SC	BA5	As it is now	Not relevant at all	Agree	Agree		2	3 - No opinion	1 – I hate it !	SysCom	
BA-IN	BA3	Specialization	Relevant	Disagree	Agree	AI	4	5 – I love it !	5 – I love it !	AI	
BA-IN	BA1	Specialization	A little Relevant	No opinion	Strongly agree	AI	4	4	2	Not sure	
BA-IN	BA1	New independent bachelor	Very relevant	No opinion	Strongly agree	AI				AI	
BA-IN	BA1	As it is now	Not relevant at all	Strongly agree	Disagree	Data Science	3 - No opinion	3 - No opinion	1 – I hate it !	SysCom	I think computer security is more important than the ai craze. Letting go of computer security and cyber security is an extremely bad idea, because it is one of the most needed jobs/state needs. 
BA-IN	BA5	As it is now	Not relevant at all	Disagree	Strongly agree	AI	2	4	1 – I hate it !	SysCom	"An ""AI"" bachelor feels very commercial given that it is the most evolving trend ever. Yesterday it was data, today it is AI, and tomorrow maybe it is quantum. Basic ML knowledge should of course be required in any engineering section but the world doesn't need as much DL engineers, especially not enough to make a section out of it and even if so such specilisations should be at least on a masters level. Of course I agree with the idea of adding more AI related classes but honestly the ""AI"" bachelor is very often a cheap marketing strategy used by universities that are desperate to cling to trends... I'd love to see either one bachelor where you can pick your field depending on your specilisations or data science as a new bachelor rather than AI."
BA-IN	BA5	Specialization	Very relevant	Disagree	Agree	Intelligent Systems	2	5 – I love it !	3 - No opinion	AI	
MA-IN	MA1	New independent bachelor	A little Relevant	Disagree	Agree	Intelligent Systems	5 – I love it !	1 – I hate it !	1 – I hate it !	SysCom	L'IA est a la mode, mais j'ai du mal a voir un bachelor lui être dédié. Je préfère un bachelor plus généraliste, qui reste interessant pour plus de profils. Tout le monde ne veut pas faire de l'IA
MA-IN	MA1	Specialization	A little Relevant	No opinion	No opinion	Intelligent Systems	3 - No opinion	4	1 – I hate it !	SysCom	
BA-IN	BA3	Specialization	Relevant	No opinion	Strongly agree	AI	4	4	4	SysCom	
BA-IN	BA1	Specialization	Relevant	No opinion	No opinion	Intelligent Systems	3 - No opinion	3 - No opinion	3 - No opinion	Not sure	
BA-IN	BA3	Specialization	A little Relevant	Disagree	Disagree	Intelligent Systems	2	2	2	SysCom	Les nouvelle matières orientées IA semblent très intéressantes et pourraient être des matières optionnelles pour les deux bachelors IN/SC, permettant d'avoir un apperçu plus approfondi de l'IA et pouvoir décider de s'orienter vers le master IA. Un bachelor spécifiquement IA, même si cela sonne bien, arrive trop tôt dans les études, le bachelor doit rester plus général.
MA-SC	MA3	Specialization	Not relevant at all	Agree	Disagree	AI	3 - No opinion	4	1 – I hate it !	SysCom	Le bachelor sys com est très théorique, il serait utile d'ajouter des cours pratiques liés aux communications, mais le transformer en bachelor IA n'a aucun sens. De plus, le bachelor est encore choisi et suivi par assez d'eleves pour ne pas le modifier aussi drastiquement (contrairement au master SC qui est a présent supprimé).
BA-IN	BA5	Specialization	A little Relevant	Disagree	Agree	Intelligent Systems	4	5 – I love it !	1 – I hate it !	AI	"Je pense que renommer le cursus ""Bachelor en IA"" suit trop les tendances actuelles et risque de décrédibiliser le programme. Beaucoup d'institutions donnent maintenant le label ""IA"" à leurs cursus, ce qui dilue la valeur du diplôme. Un nom comme ""Intelligent Systems"" serait peut-être mieux, mais je ne suis pas sûr si ça fait penser trop à la robotique.  Une spécialisation aussi tôt peut aussi rendre difficile un changement de direction. Une base en Computer Science reste plus future-proof et polyvalente.  Je suis pour ajouter les cours de ML et applications de l'IA. Par contre, rendre Computer Systems, Computer Security et les autres cours fondamentaux optionnels est problématique. Connaître les bases techniques (comment l'OS fonctionne, les réseaux, DNS, routing) reste fondamental pour aborder l'IA sérieusement. Sinon on se retrouve avec des spécialistes IA qui ne comprennent pas comment leur propre ordinateur fonctionne.  Ces cours servent aussi d'introduction pour ceux qui vont se spécialiser dans ces domaines. J'ai un ami qui envisage le networking bas niveau grâce à Computer Systems. Beaucoup développent leur intérêt en cyber security grâce à ce cours. Même moi qui m'intéresse à l'IA, j'apprécie avoir ces bases avant de confirmer mon choix en master."
BA-SC	BA5	New independent bachelor	Relevant	Disagree	Strongly disagree	Data Science	2	5 – I love it !	5 – I love it !	AI	"La reforme en soit est géniale mais c'est une mauvaise idée de l'appeler ""bachelor in ai"", data science serait plus sage"
MA-IN	MA1	As it is now	A little Relevant	Strongly agree	Disagree		1 – I hate it !	1 – I hate it !	1 – I hate it !	SysCom	AI is a trend that will die in 5 years max
BA-IN	BA1	New independent bachelor	Very relevant	Disagree	Strongly agree	AI				AI	
BA-SC	MA3	Specialization	A little Relevant	Disagree	Strongly agree	Intelligent Systems	4	4	2	Not sure	Malheureusement avec tous les changements actuels avec l'IA qui grandit, ce nom de bachelor pourrait avoir une connotation négative. Nommer ce bachelor quelque chose comme systèmes intelligents ou même machine learning serait mieux
BA-IN	BA3	Specialization	A little Relevant	Agree	Disagree	Intelligent Systems	2	3 - No opinion	3 - No opinion	SysCom	Je pense que ce serait plus pertinent d'avoir un Master en AI qu'un bachelor en AI.En effet, je comprends que la tendence actuelle est tournée vers l'AI mais meme en travaillant dans ce domaine, les bases apprises par le bachelor syteme de communications serviront à long terme.
BA-SC	BA1	Specialization	Very relevant	Strongly disagree	Disagree	AI	4	4	4	AI	Let's switch to AI next year
MA-IN	MA1	Specialization	A little Relevant	Agree	Agree	Intelligent Systems	2	2	1 – I hate it !	SysCom	
BA-IN	BA3	Specialization	A little Relevant	No opinion	No opinion	Intelligent Systems	1 – I hate it !	2	1 – I hate it !	SysCom	
BA-IN	BA5	New independent bachelor	A little Relevant	No opinion	Agree	Intelligent Systems	2	4	3 - No opinion	SysCom	I do not think the SysCom bachelors can naturally transform into a bachelors in AI. I think it would be much more interesting to add more optional courses in AI available to all IC students, or merging the two bachelors degrees and adding specialisations as with the new masters degree in computer science. But I do not think that making a new degree in AI would work well. 
MA-DS	MA3	Specialization	Relevant	Strongly disagree	Agree	Data Science	5 – I love it !	5 – I love it !	5 – I love it !	AI	
BA-SC	BA3	Specialization	Relevant	No opinion	No opinion	Intelligent Systems	5 – I love it !	4	3 - No opinion	Not sure	
BA-IN	BA1	Specialization	A little Relevant	Strongly agree	Strongly agree	Intelligent Systems				Not sure	
BA-IN	BA5	Specialization	A little Relevant	Strongly disagree	Strongly agree	Intelligent Systems	2	5 – I love it !	4	AI	
MA-IN	MA1	Specialization	Relevant	No opinion	Strongly agree	AI	5 – I love it !	5 – I love it !	3 - No opinion	AI	
BA-IN	BA3	New independent bachelor	Very relevant	No opinion	Strongly agree	Intelligent Systems	4	5 – I love it !	4	AI	
BA-IN	BA5	Specialization	Relevant	Disagree	Agree	Intelligent Systems	4	5 – I love it !	2	AI	- Compsec and CompSys shouldn't be optional. - Applied AI courses is a great idea, would have loved taking one of these courses.
BA-IN	BA3	Specialization	A little Relevant	No opinion	Disagree	Intelligent Systems	2	3 - No opinion	3 - No opinion	SysCom	
BA-SC	BA5	Specialization	A little Relevant	Agree	Agree	Intelligent Systems	4	4	2	AI	
MA-IN	MA3	As it is now	A little Relevant	Strongly disagree	Strongly agree	Intelligent Systems	2	4	1 – I hate it !	SysCom	
BA-IN	BA5	New independent bachelor	A little Relevant	Disagree	Agree	Intelligent Systems				Not sure	
BA-SC	BA1	Specialization	Very relevant	No opinion	No opinion	AI	5 – I love it !	5 – I love it !	4	AI	
BA-IN	BA1	New independent bachelor	Very relevant	Disagree	Agree	AI				AI	
BA-IN	BA3	New independent bachelor	Relevant	Agree	Strongly disagree	AI	2	4	2	Not sure	
BA-SC	BA5	Specialization	Not relevant at all	Agree	Agree	Intelligent Systems	5 – I love it !	3 - No opinion	1 – I hate it !	SysCom	Wouldnt it make more sense for it to be a bachelor in data science 
BA-IN	BA3	New independent bachelor	Very relevant	No opinion	Strongly agree	AI	3 - No opinion	3 - No opinion	3 - No opinion	AI	
MA-CY	MA1	New independent bachelor	Relevant	Disagree	Agree	AI	4	4	2	SysCom	Creating a bachelor in AI is great, but it should not replace a bachelor in syscom imo. Both should exist.
MA-DS	MA3	Specialization	A little Relevant	No opinion	Agree	Intelligent Systems				Not sure	
BA-SC	BA3	New independent bachelor	Very relevant	Strongly agree	Strongly disagree	Data Science	3 - No opinion	3 - No opinion	3 - No opinion	SysCom	Since there is a master in data science already, and it seems to also be in the direction of AI but a bit broader. It wouldn't really make sense to have an overly specific bachelor that leads to a broader master. That is why Bachelor in data science to master of data science would make more sense.
BA-SC	BA5	Specialization	No opinion	Agree	Agree	AI	4	3 - No opinion	4	SysCom	
BA-IN	BA3	As it is now	A little Relevant	No opinion	Agree	AI	4	5 – I love it !	2	SysCom	AI is for sure taking a huge scale, but should still be a specilization rataher than a whole bachelor
BA-IN	BA5	Specialization	No opinion	Agree	Agree	Intelligent Systems	4	2	1 – I hate it !	Not sure	Maybe do a third bachelor. I think having a Bachelor in Communication Systems is important, and that EPFL should not throw away every signal related courses, because they contains a lot of math, which is really important for AI (for ex. ModStock, PDC seems really important classes to me)
BA-SC	BA3	Specialization	Relevant	Agree	No opinion	Intelligent Systems	2	2	3 - No opinion	AI	
BA-IN	BA3	As it is now	Not relevant at all	Agree	Strongly disagree	Intelligent Systems	2	2	2	SysCom	
BA-SC	BA1	Specialization	No opinion	No opinion	No opinion	Intelligent Systems	3 - No opinion	3 - No opinion	3 - No opinion	Not sure	
MA-IN	MA1	As it is now	Not relevant at all	Disagree	No opinion	Data Science	4	2	2	Not sure	
BA-IN	BA3	New independent bachelor	Relevant	Disagree	Agree	Intelligent Systems	2	4	4	AI	
BA-IN	BA5	New independent bachelor	Relevant	Agree	Disagree	AI	4	4	5 – I love it !	AI	
BA-SC	BA5	Specialization	Relevant	Agree	Disagree	AI	4	5 – I love it !	5 – I love it !	AI	
BA-IN	BA1	Specialization	Relevant	No opinion	Agree	AI	4	3 - No opinion	4	AI	
BA-SC	BA5	Specialization	Very relevant	Strongly agree	Agree	AI	4	5 – I love it !	5 – I love it !	AI	
MA-IN	MA1	New independent bachelor	Very relevant	No opinion	Strongly agree	AI	3 - No opinion	3 - No opinion	3 - No opinion	AI	
BA-IN	BA5	Specialization	A little Relevant	No opinion	Strongly agree	Intelligent Systems	1 – I hate it !	4	3 - No opinion	SysCom	
BA-IN	BA5	Specialization	A little Relevant	Disagree	Strongly agree	Intelligent Systems	5 – I love it !	4	1 – I hate it !	AI	
MA-CY	MA1	Specialization	A little Relevant	Agree	No opinion		4	3 - No opinion	2	SysCom	
MA-DS	MA1	Specialization	Not relevant at all	Agree	Strongly agree	Intelligent Systems	4	4	1 – I hate it !	SysCom	The name bachelor's in AI sounds like it's trying to catch on to a trend. The changes are very interesting and bring a lot of necessary changes, but the new name and the need for a whole new bachelors different from computer science make it sound like it's less serious in my opinion.
BA-SC	BA3	Specialization	No opinion	Agree	No opinion	AI	3 - No opinion	4	1 – I hate it !	SysCom	
MA-DS	MA3	New independent bachelor	Very relevant	No opinion	Strongly agree	Intelligent Systems	5 – I love it !	5 – I love it !	5 – I love it !	AI	
BA-SC	BA3	New independent bachelor	Very relevant	Strongly disagree	Disagree	AI	3 - No opinion	4	4	AI	Remplacer le Bachelor de système de communication est un peu radical, les cours de systèmes de communications sont très différents de ceux nécessaires a l’IA, cependant avoir une nouvelle section a part entière en IC serait bien.
BA-SC	BA3	New independent bachelor	Relevant	Agree	Disagree	Intelligent Systems	2	3 - No opinion	4	SysCom	
MA-IN	MA3	Specialization	Relevant	No opinion	Disagree	AI	3 - No opinion	3 - No opinion	3 - No opinion	SysCom	
MA-DS	MA3	New independent bachelor	Very relevant	No opinion	No opinion	AI	5 – I love it !	5 – I love it !	5 – I love it !	AI	
BA-SC	BA5	Specialization	Relevant	Agree	Agree	Intelligent Systems	2	4	2	SysCom	
BA-IN	BA5	New independent bachelor	Very relevant	Agree	Strongly agree	Intelligent Systems	5 – I love it !	5 – I love it !	4	AI	I am in 'normal' CS and i would like these new course to be optional for us, but from what i understand it would be the case :)
